time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-01-16T02:13:46.957Z,38.4034,-118.8851,11.8,1.1,ml,8,168.24,0.108,0.182,nn,nn00574191,2017-01-17T02:36:44.243Z,"26km WSW of Hawthorne, Nevada",earthquake,,2.4,0.22,2,reviewed,nn,nn
2017-01-16T02:06:02.122Z,38.3917,-118.9209,4.4,0.7,ml,6,242.6,0.346,0.1527,nn,nn00574262,2017-01-17T02:38:10.901Z,"29km WSW of Hawthorne, Nevada",earthquake,,7.1,0.05,2,reviewed,nn,nn
2017-01-16T01:57:11.690Z,38.8530006,-122.8531647,1.13,0.64,md,8,105,0.01773,0.02,nc,nc72752735,2017-01-16T01:58:52.929Z,"11km WNW of Cobb, California",earthquake,0.38,0.93,0.08,2,automatic,nc,nc
2017-01-16T01:56:37.809Z,38.4089,-118.9365,8,0.8,ml,8,177.29,0.142,0.1052,nn,nn00574188,2017-01-17T02:36:42.075Z,"30km WSW of Hawthorne, Nevada",earthquake,,6.6,0.26,4,reviewed,nn,nn
2017-01-16T01:41:56.236Z,38.4253,-118.8977,8.9,1,ml,10,160.6,0.108,0.1619,nn,nn00574256,2017-01-17T02:38:00.923Z,"26km WSW of Hawthorne, Nevada",earthquake,,1.6,0.17,2,reviewed,nn,nn
2017-01-16T01:16:38.990Z,-13.6571,166.3802,10,5.8,mb,,28,7.128,1.2,us,us10007tfe,2017-01-16T04:43:52.935Z,"128km W of Sola, Vanuatu",earthquake,3.5,1.9,0.064,89,reviewed,us,us
2017-01-16T01:14:27.077Z,38.39,-118.9164,7.9,1.6,ml,13,116.25,0.136,0.1732,nn,nn00574177,2017-01-17T02:36:40.341Z,"29km WSW of Hawthorne, Nevada",earthquake,,4.4,0.27,9,reviewed,nn,nn
2017-01-16T01:08:59.870Z,36.0195,-117.8855,1.78,1.14,ml,20,82,0.01239,0.14,ci,ci37569087,2017-01-16T01:12:36.077Z,"6km ESE of Coso Junction, CA",earthquake,0.23,0.27,0.193,19,automatic,ci,ci
2017-01-16T01:04:04.413Z,38.4341,-118.8771,6.6,0.8,ml,6,282.39,0.09,0.0889,nn,nn00574228,2017-01-17T02:37:29.433Z,"24km WSW of Hawthorne, Nevada",earthquake,,3.1,0.12,3,reviewed,nn,nn
2017-01-16T01:02:34.282Z,37.933,-116.1615,0,0.9,ml,7,127.32,0.615,0.2663,nn,nn00574252,2017-01-17T02:37:59.135Z,"33km SSE of Warm Springs, Nevada",earthquake,,0,0.15,3,reviewed,nn,nn
2017-01-16T00:41:49.190Z,-30.0767,-177.7849,10,4.8,mb,,121,0.838,1.24,us,us10007tfd,2017-01-16T01:07:13.040Z,"90km S of Raoul Island, New Zealand",earthquake,10,1.9,0.081,47,reviewed,us,us
2017-01-16T00:19:28.245Z,38.3804,-118.8959,7.8,2.3,ml,25,57.64,0.128,0.1763,nn,nn00574175,2017-01-17T02:36:38.982Z,"28km SW of Hawthorne, Nevada",earthquake,,2.7,0.35,15,reviewed,nn,nn
2017-01-16T00:05:11.910Z,64.5274,-148.9095,16.4,0.9,ml,,,,0.34,ak,ak15077440,2017-01-16T00:14:20.890Z,"11km ESE of North Nenana, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-01-15T23:46:56.280Z,33.87,-116.8953333,10.42,1.04,ml,14,92,0.08643,0.23,ci,ci37569031,2017-01-15T23:50:50.416Z,"6km SSW of Banning, CA",earthquake,0.77,1.66,0.262,19,automatic,ci,ci
2017-01-15T23:46:49.070Z,33.8156667,-117.3195,8.73,1.76,ml,17,126,0.2758,0.34,ci,ci37569023,2017-01-15T23:50:34.542Z,"3km SW of Mead Valley, CA",earthquake,1.22,3.92,0.367,10,automatic,ci,ci
2017-01-15T23:43:47.777Z,59.9785,-153.4156,140.1,2.5,ml,,,,0.59,ak,ak15077099,2017-01-16T00:01:23.040Z,"67km SSW of Redoubt Volcano, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2017-01-15T23:38:24.800Z,19.3561,-65.069,54,3.2,Md,5,320.4,1.06091035,0.28,pr,pr17015008,2017-01-16T04:07:28.218Z,"113km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,6.1,16.9,0,4,reviewed,pr,pr
2017-01-15T23:36:16.400Z,17.9468,-66.7014,9,1.5,Md,4,230.4,0.13115403,0.33,pr,pr17015007,2017-01-16T04:03:17.712Z,"5km SSE of Tallaboa, Puerto Rico",earthquake,4.1,7.4,0,4,reviewed,pr,pr
2017-01-15T23:33:19.410Z,38.8383331,-122.8308334,1.81,0.43,md,6,113,0.003643,0,nc,nc72752680,2017-01-15T23:34:59.242Z,"9km W of Cobb, California",earthquake,0.73,0.73,0.15,2,automatic,nc,nc
2017-01-15T23:33:12.000Z,19.3773,-65.0063,40,3.4,Md,8,313.2,1.09504633,0.34,pr,pr17015006,2017-01-16T04:07:48.349Z,"113km NNW of Road Town, British Virgin Islands",earthquake,4,21.1,0,5,reviewed,pr,pr
2017-01-15T23:28:04.100Z,19.3483,-65.054,30,4.2,Mb,20,295.2,1.05641877,0.38,pr,pr17015005,2017-01-16T03:54:19.103Z,"99km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake,2.8,27.8,0,14,reviewed,pr,pr
2017-01-15T23:18:22.710Z,38.7630005,-122.6458359,3.52,2.06,md,26,63,0.0421,0.11,nc,nc72752670,2017-01-15T23:23:03.254Z,"2km WNW of Middletown, California",earthquake,0.31,0.84,0.21,17,automatic,nc,nc
2017-01-15T23:11:06.760Z,38.8305016,-122.7761688,1.47,0.94,md,7,127,0.01386,0.03,nc,nc72752665,2017-01-15T23:12:43.897Z,"4km WNW of Cobb, California",earthquake,1.61,0.8,0.06,2,automatic,nc,nc
2017-01-15T23:08:41.421Z,38.4313,-118.9018,8.4,0.8,ml,10,86.24,0.356,0.1249,nn,nn00574167,2017-01-15T23:48:03.754Z,"26km WSW of Hawthorne, Nevada",earthquake,,9.8,0.08,2,reviewed,nn,nn
2017-01-15T22:58:56.995Z,60.2779,-150.9915,55.7,1.6,ml,,,,0.25,ak,ak15077095,2017-01-15T23:06:47.575Z,"20km ESE of Cohoe, Alaska",earthquake,,1.2,,,automatic,ak,ak
2017-01-15T22:58:09.000Z,38.8003349,-122.7456665,0.3,1.08,md,13,65,0.01845,0.04,nc,nc72752655,2017-01-15T22:59:51.241Z,"2km NNE of The Geysers, California",earthquake,0.24,0.68,0.19,5,automatic,nc,nc
2017-01-15T22:51:23.338Z,38.3797,-118.9047,6.4,1.4,ml,14,114.2,0.134,0.1681,nn,nn00574164,2017-01-16T01:17:23.705Z,"29km WSW of Hawthorne, Nevada",earthquake,,2.8,0.14,7,reviewed,nn,nn
2017-01-15T22:48:26.000Z,33.4971667,-116.7883333,4.67,0.85,ml,32,46,0.0803,0.15,ci,ci37569015,2017-01-15T22:51:59.717Z,"9km NE of Aguanga, CA",earthquake,0.19,0.42,0.098,26,automatic,ci,ci
2017-01-15T22:29:52.461Z,58.3146,-154.9542,0,2,ml,,,,0.56,ak,ak15077087,2017-01-15T22:44:34.109Z,"103km NNW of Larsen Bay, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-01-15T22:27:53.305Z,61.7186,-148.2018,8.5,0.4,ml,,,,0.22,ak,ak15077086,2017-01-16T03:48:07.297Z,"35km ESE of Sutton-Alpine, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2017-01-15T22:27:31.060Z,34.9306667,-119.2483333,3.97,1.44,ml,15,143,0.1357,0.25,ci,ci37568999,2017-01-15T22:31:07.798Z,"13km NW of Pine Mountain Club, CA",earthquake,0.79,2.56,0.202,20,automatic,ci,ci
2017-01-15T22:14:56.030Z,49.3703333,-120.5073333,-0.51,2.16,ml,6,217,0.5788,0.22,uw,uw61228822,2017-01-16T02:19:12.080Z,"9km S of Princeton, Canada",explosion,2.33,31.61,0.114,6,reviewed,uw,uw
2017-01-15T22:08:26.417Z,65.4317,-147.9158,13.2,1.3,ml,,,,0.21,ak,ak15077084,2017-01-15T22:14:59.221Z,"64km N of College, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-01-15T22:03:06.900Z,18.0158,-65.6295,20,2.2,Md,5,216,0.10869615,0.14,pr,pr17015004,2017-01-15T23:41:27.093Z,"19km WSW of Esperanza, Puerto Rico",earthquake,0.9,1,0,5,reviewed,pr,pr
2017-01-15T21:46:23.960Z,40.3768349,-124.5130005,21.13,1.9,md,11,282,0.1664,0.08,nc,nc72752635,2017-01-15T22:02:02.082Z,"30km SW of Ferndale, California",earthquake,2.92,0.72,0.14,5,automatic,nc,nc
2017-01-15T21:32:49.310Z,33.2863333,-116.3166667,2.19,1.03,ml,24,115,0.0861,0.21,ci,ci37568951,2017-01-15T21:36:32.671Z,"6km ENE of Borrego Springs, CA",earthquake,0.34,0.78,0.222,25,automatic,ci,ci
2017-01-15T21:10:43.080Z,33.1101667,-116.4081667,6.16,1.16,ml,21,57,0.1533,0.23,ci,ci37568943,2017-01-15T21:14:24.676Z,"16km S of Borrego Springs, CA",earthquake,0.39,1.63,0.145,28,automatic,ci,ci
2017-01-15T21:08:59.800Z,19.1828,-66.6806,24,3.4,Md,16,270,0.71505897,0.34,pr,pr17015003,2017-01-15T21:48:12.970Z,"78km N of Hatillo, Puerto Rico",earthquake,1.3,21.8,0,12,reviewed,pr,pr
2017-01-15T21:02:00.291Z,64.8934,-147.6228,10.8,0.4,ml,,,,0.37,ak,ak15077081,2017-01-15T21:11:10.214Z,"7km NE of Fairbanks, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-01-15T20:41:05.520Z,33.3051667,-115.6938333,5.15,2.78,ml,49,125,0.0577,0.25,ci,ci37568927,2017-01-17T01:06:49.646Z,"6km SE of Bombay Beach, CA",earthquake,0.42,0.9,0.179,26,automatic,ci,ci
2017-01-15T20:40:37.510Z,33.1193333,-116.1888333,7.63,1.38,ml,14,132,0.2964,0.35,ci,ci37568919,2017-01-15T20:44:11.391Z,"6km WSW of Ocotillo Wells, CA",earthquake,1.23,31.61,0.19,28,automatic,ci,ci
2017-01-15T20:38:05.598Z,62.6198,-149.1168,53.1,1.6,ml,,,,0.39,ak,ak15077078,2017-01-15T20:52:27.397Z,"60km ENE of Talkeetna, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-01-15T20:37:48.810Z,47.5611667,-120.3573333,5.39,1.81,ml,15,95,0.04596,0.1,uw,uw61228757,2017-01-16T04:53:31.786Z,"9km N of Sunnyslope, Washington",earthquake,0.31,0.9,0.207,12,reviewed,uw,uw
2017-01-15T20:14:28.990Z,37.6708336,-118.8724976,0.67,1.23,md,11,89,0.03083,0.05,nc,nc72752615,2017-01-15T20:30:03.899Z,"9km ENE of Mammoth Lakes, California",earthquake,0.36,1.27,0.13,10,automatic,nc,nc
2017-01-15T20:08:01.330Z,33.4866667,-116.4568333,13.42,0.77,ml,23,106,0.04493,0.22,ci,ci37568879,2017-01-15T20:11:43.989Z,"22km ESE of Anza, CA",earthquake,0.46,0.8,0.107,22,automatic,ci,ci
2017-01-15T20:01:51.240Z,59.498,-151.9754,50.8,1.7,ml,,,,0.35,ak,ak15077075,2017-01-15T20:12:21.294Z,"29km WSW of Homer, Alaska",earthquake,,1.7,,,automatic,ak,ak
2017-01-15T19:51:46.458Z,59.8745,-153.1419,125.8,2.6,ml,,,,0.47,ak,ak15077068,2017-01-15T20:07:10.352Z,"71km SSW of Redoubt Volcano, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-01-15T19:48:26.002Z,38.3988,-118.9228,5.7,2.1,ml,22,73.92,0.136,0.1821,nn,nn00574132,2017-01-15T20:11:56.100Z,"29km WSW of Hawthorne, Nevada",earthquake,,3.2,0.43,11,reviewed,nn,nn
2017-01-15T19:39:48.570Z,38.3622,-118.9084,7.1,1.2,ml,17,73.75,0.147,0.1548,nn,nn00574131,2017-01-15T20:24:24.165Z,"30km SW of Hawthorne, Nevada",earthquake,,4,0.24,3,reviewed,nn,nn
2017-01-15T19:32:52.011Z,61.0701,-151.3479,62.2,2.7,ml,,,,0.63,ak,ak15077060,2017-01-15T19:47:36.808Z,"42km N of Nikiski, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-01-15T19:27:12.270Z,36.4705009,-121.0134964,5.55,1.17,md,8,144,0.04594,0.04,nc,nc72752605,2017-01-15T19:50:02.834Z,"26km NE of Greenfield, California",earthquake,0.49,1.34,0.29,7,automatic,nc,nc
2017-01-15T19:23:18.970Z,37.6706657,-118.8376694,0.53,1.13,md,9,109,0.01966,0.05,nc,nc72752600,2017-01-15T19:38:02.815Z,"12km ENE of Mammoth Lakes, California",earthquake,0.4,1.01,0.12,9,automatic,nc,nc
2017-01-15T19:11:01.170Z,33.8305,-117.1683333,17.58,1.7,ml,58,44,0.04371,0.19,ci,ci37568847,2017-01-15T19:21:30.320Z,"4km NNW of Nuevo, CA",earthquake,0.22,0.46,0.112,28,automatic,ci,ci
2017-01-15T19:01:03.530Z,35.685,-97.4137,5,2.6,mb_lg,,32,0.103,0.41,us,us10007tej,2017-01-17T10:08:52.148Z,"6km ENE of Edmond, Oklahoma",earthquake,1.3,1.4,0.079,42,reviewed,us,us
2017-01-15T18:54:16.739Z,58.9605,-152.8376,44.6,1.9,ml,,,,0.25,ak,ak15077059,2017-01-15T19:03:49.150Z,"105km SW of Homer, Alaska",earthquake,,8.1,,,automatic,ak,ak
2017-01-15T18:41:40.620Z,63.1762,-149.8341,83.4,2.1,ml,,,,0.6,ak,ak15077053,2017-01-15T19:03:48.882Z,"50km WSW of Cantwell, Alaska",earthquake,,0.6,,,automatic,ak,ak
2017-01-15T18:34:21.780Z,33.4935,-116.7906667,6.2,1.18,ml,40,39,0.08444,0.22,ci,ci37568839,2017-01-15T18:45:19.590Z,"9km NE of Aguanga, CA",earthquake,0.23,0.87,0.121,27,automatic,ci,ci
2017-01-15T18:09:12.728Z,63.1058,-149.7052,85.3,1.4,ml,,,,0.55,ak,ak15077049,2017-01-15T18:15:46.424Z,"49km SW of Cantwell, Alaska",earthquake,,0.7,,,automatic,ak,ak
2017-01-15T17:33:39.230Z,63.0536,-150.7099,117.8,1.5,ml,,,,0.58,ak,ak15077046,2017-01-15T17:42:51.519Z,"86km NNW of Talkeetna, Alaska",earthquake,,1.1,,,automatic,ak,ak
2017-01-15T17:31:40.720Z,38.8170013,-122.8184967,2.29,0.93,md,15,77,0.009168,0.02,nc,nc72752570,2017-01-15T17:33:18.983Z,"6km NW of The Geysers, California",earthquake,0.3,0.31,0.13,5,automatic,nc,nc
2017-01-15T17:22:20.180Z,38.8373337,-122.7881699,1.35,0.3,md,6,116,0.002009,0.02,nc,nc72752565,2017-01-15T17:23:59.429Z,"5km WNW of Cobb, California",earthquake,0.8,1.17,,1,automatic,nc,nc
2017-01-15T17:11:00.290Z,34.024,-118.0755,25.41,1.53,ml,7,127,0.3291,0.26,ci,ci37568815,2017-01-15T17:14:44.884Z,"3km ENE of Montebello, CA",earthquake,0.99,6.09,0.26,31,automatic,ci,ci
2017-01-15T17:06:50.042Z,61.4815,-140.9728,0,1.8,ml,,,,0.5,ak,ak15077040,2017-01-15T17:15:59.256Z,"176km NNE of Cape Yakataga, Alaska",earthquake,,0.8,,,automatic,ak,ak
2017-01-15T16:47:29.070Z,36.4586667,-83.0818333,22.74,2.58,md,24,69,0.2334,0.11,se,se60172026,2017-01-17T13:19:04.302Z,"8km NW of Rogersville, Tennessee",earthquake,0.24,0.55,0.107,14,reviewed,se,se
2017-01-15T16:41:24.240Z,38.7741661,-122.8791656,1.83,0.73,md,6,232,0.07372,0.02,nc,nc72752560,2017-01-15T16:43:04.270Z,"10km W of The Geysers, California",earthquake,1.67,6.42,0.18,4,automatic,nc,nc
2017-01-15T16:27:47.570Z,34.9793333,-116.8108333,1.1,1.69,ml,17,61,0.182,0.16,ci,ci37568807,2017-01-15T16:31:14.761Z,"21km ENE of Barstow, CA",earthquake,0.3,0.58,0.207,26,automatic,ci,ci
2017-01-15T15:57:46.958Z,62.9926,-150.6377,110.4,1.6,ml,,,,0.4,ak,ak15076706,2017-01-15T16:07:38.842Z,"79km NNW of Talkeetna, Alaska",earthquake,,0.6,,,automatic,ak,ak
2017-01-15T15:26:32.670Z,-6.2275,154.4863,65.25,4.6,mb,,69,3.072,0.69,us,us10007tea,2017-01-16T15:08:50.093Z,"110km W of Panguna, Papua New Guinea",earthquake,8.8,7.4,0.077,50,reviewed,us,us
2017-01-15T15:06:49.770Z,33.1053333,-115.6,10.37,1.48,ml,23,74,0.02292,0.23,ci,ci37568791,2017-01-15T15:10:33.182Z,"8km NNE of Westmorland, CA",earthquake,0.43,0.8,0.199,28,automatic,ci,ci
2017-01-15T15:03:40.440Z,38.8325005,-122.7716675,1.26,0.88,md,11,123,0.002446,0.01,nc,nc72752535,2017-01-15T15:05:19.781Z,"4km WNW of Cobb, California",earthquake,0.3,0.52,0.1,3,automatic,nc,nc
2017-01-15T14:38:10.416Z,61.2327,-150.0137,35.8,2.2,ml,,,,0.75,ak,ak15076372,2017-01-15T14:52:15.570Z,"6km WNW of Anchorage, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-01-15T14:32:39.930Z,33.3521667,-115.504,4.52,1.76,ml,14,184,0.1892,0.24,ci,ci37568783,2017-01-15T14:36:21.578Z,"12km N of Niland, CA",earthquake,1.24,4.18,0.169,29,automatic,ci,ci
2017-01-15T14:27:56.680Z,33.3488333,-116.3563333,10.83,2.31,ml,73,24,0.09519,0.18,ci,ci37568775,2017-01-15T14:39:02.210Z,"10km N of Borrego Springs, CA",earthquake,0.18,0.42,0.136,26,automatic,ci,ci
2017-01-15T14:27:15.240Z,33.3475,-116.3223333,9.85,0.82,ml,14,207,0.1121,0.18,ci,ci37568767,2017-01-15T14:30:44.885Z,"11km NNE of Borrego Springs, CA",earthquake,0.59,1.36,0.076,5,automatic,ci,ci
2017-01-15T14:26:10.540Z,33.3491667,-116.3551667,10.74,2.33,ml,74,30,0.096,0.19,ci,ci37568759,2017-01-15T14:29:58.544Z,"10km N of Borrego Springs, CA",earthquake,0.18,0.44,0.158,25,automatic,ci,ci
2017-01-15T14:12:59.980Z,14.4055,-90.1635,209.89,4.6,mb,,124,0.778,0.69,us,us10007te1,2017-01-15T15:36:58.040Z,"8km ESE of Casillas, Guatemala",earthquake,8.1,7.7,0.041,181,reviewed,us,us
2017-01-15T14:04:41.437Z,62.9745,-151.0025,133,1.8,ml,,,,0.47,ak,ak15076042,2017-01-15T14:13:28.323Z,"85km NNW of Talkeetna, Alaska",earthquake,,0.8,,,automatic,ak,ak
2017-01-15T13:50:10.890Z,33.2963333,-115.6866667,6.26,2.1,ml,42,72,0.06836,0.21,ci,ci37568743,2017-01-15T14:00:46.100Z,"7km SE of Bombay Beach, CA",earthquake,0.33,1.03,0.141,28,automatic,ci,ci
2017-01-15T13:48:43.240Z,33.3568333,-115.8868333,7.85,1.49,ml,21,114,0.1318,0.32,ci,ci37568735,2017-01-15T13:52:27.416Z,"9km NE of Salton City, CA",earthquake,1.35,5.21,0.16,28,automatic,ci,ci
2017-01-15T13:47:12.680Z,33.2968333,-115.686,4.82,1.25,ml,19,129,0.06827,0.23,ci,ci37568727,2017-01-15T13:50:56.923Z,"7km SE of Bombay Beach, CA",earthquake,0.46,1.2,0.121,25,automatic,ci,ci
2017-01-15T13:35:00.550Z,33.3025,-115.6866667,6.08,2.61,ml,49,76,0.0634,0.26,ci,ci37568719,2017-01-15T21:37:28.111Z,"7km SE of Bombay Beach, CA",earthquake,0.41,1.22,0.159,28,automatic,ci,ci
2017-01-15T13:27:26.603Z,61.727,-148.2016,15.6,1,ml,,,,0.29,ak,ak15076039,2017-01-15T13:33:30.907Z,"35km ESE of Sutton-Alpine, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-01-15T13:20:04.261Z,38.3853,-118.9015,6.7,0.9,ml,11,82.56,0.129,0.1739,nn,nn00574094,2017-01-15T18:01:56.210Z,"28km WSW of Hawthorne, Nevada",earthquake,,3.6,0.35,4,reviewed,nn,nn
2017-01-15T13:18:10.230Z,38.9013,70.6915,6.4,4.6,mb,,68,0.308,0.88,us,us10007tdw,2017-01-15T14:22:03.040Z,"30km ESE of Gharm, Tajikistan",earthquake,3.1,5.1,0.103,28,reviewed,us,us
2017-01-15T13:15:28.960Z,33.2978333,-115.6826667,4.34,1.72,ml,31,132,0.06913,0.21,ci,ci37568711,2017-01-15T13:26:25.220Z,"8km SE of Bombay Beach, CA",earthquake,0.4,1.15,0.122,28,automatic,ci,ci
2017-01-15T13:06:58.511Z,60.8682,-152.0117,98.3,1.9,ml,,,,0.77,ak,ak15076037,2017-01-15T13:16:43.286Z,"44km WNW of Nikiski, Alaska",earthquake,,1.5,,,automatic,ak,ak
2017-01-15T13:02:17.040Z,38.7898331,-122.7608337,0.83,0.38,md,7,91,0.01947,0.01,nc,nc72752510,2017-01-15T13:03:58.705Z,"1km NNW of The Geysers, California",earthquake,0.69,2.13,0.1,3,automatic,nc,nc
2017-01-15T12:41:35.888Z,38.4271,-118.8906,6.9,0.5,ml,8,167.44,0.102,0.1234,nn,nn00574092,2017-01-15T19:47:06.767Z,"25km WSW of Hawthorne, Nevada",earthquake,,4.1,0.17,2,reviewed,nn,nn
2017-01-15T12:28:19.918Z,38.4075,-118.9326,8.5,0.9,ml,11,91.57,0.14,0.134,nn,nn00574090,2017-01-15T19:25:35.682Z,"29km WSW of Hawthorne, Nevada",earthquake,,3.2,0.17,3,reviewed,nn,nn
2017-01-15T12:27:54.800Z,34.0285,-117.2283333,16.28,2.23,ml,93,28,0.09315,0.17,ci,ci37568703,2017-01-15T12:39:07.130Z,"4km SE of Loma Linda, CA",earthquake,0.17,0.4,0.137,25,automatic,ci,ci
2017-01-15T12:25:53.013Z,38.406,-118.9275,7.2,1,ml,13,75.4,0.137,0.1284,nn,nn00574089,2017-01-15T17:40:12.013Z,"29km WSW of Hawthorne, Nevada",earthquake,,5.1,0.16,2,reviewed,nn,nn
2017-01-15T12:25:11.282Z,38.4247,-118.9044,6.8,1.1,ml,12,87.06,0.114,0.1174,nn,nn00574088,2017-01-15T19:13:10.781Z,"26km WSW of Hawthorne, Nevada",earthquake,,3.2,0.22,4,reviewed,nn,nn
2017-01-15T12:13:22.070Z,44.4182,141.1356,235.84,4.3,mb,,71,1.089,0.81,us,us10007tds,2017-01-15T12:28:55.040Z,"67km NW of Rumoi, Japan",earthquake,8.8,7.7,0.062,74,reviewed,us,us
2017-01-15T12:09:28.070Z,65.165,-149.2556,13.1,1.5,ml,,,,0.32,ak,ak15076026,2017-01-15T12:18:38.203Z,"65km N of North Nenana, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-01-15T11:55:49.910Z,33.4938333,-116.791,4.58,0.83,ml,33,60,0.0843,0.12,ci,ci37568695,2017-01-15T11:59:29.990Z,"9km NE of Aguanga, CA",earthquake,0.15,0.33,0.12,25,automatic,ci,ci
2017-01-15T11:51:55.410Z,32.6198333,-115.75,6.73,1.3,ml,16,190,0.03553,0.19,ci,ci37568687,2017-01-15T11:55:27.148Z,"16km WNW of Progreso, B.C., MX",earthquake,0.7,0.79,0.143,18,automatic,ci,ci
2017-01-15T11:49:51.125Z,64.6918,-149.3902,18.8,1.1,ml,,,,0.31,ak,ak15075698,2017-01-15T12:01:10.107Z,"18km NW of North Nenana, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-01-15T11:46:34.013Z,64.2046,-147.0687,0.9,1.4,ml,,,,0.31,ak,ak15075697,2017-01-15T11:50:44.987Z,"36km SSW of Salcha, Alaska",earthquake,,1,,,automatic,ak,ak
2017-01-15T11:45:22.033Z,38.4261,-118.9056,5.6,0.7,ml,10,132.9,0.114,0.1246,nn,nn00574163,2017-01-15T22:52:47.866Z,"26km WSW of Hawthorne, Nevada",earthquake,,5.7,0.06,2,reviewed,nn,nn
2017-01-15T11:42:22.496Z,38.4233,-118.9116,6.5,0.8,ml,9,208.62,0.119,0.1649,nn,nn00574162,2017-01-15T22:43:27.042Z,"27km WSW of Hawthorne, Nevada",earthquake,,3.1,0.29,4,reviewed,nn,nn
2017-01-15T11:16:33.687Z,38.0472,-118.9902,8.2,0.8,ml,11,82.3,0.151,0.1688,nn,nn00574161,2017-01-15T22:34:10.863Z,"31km SE of Bridgeport, California",earthquake,,5.5,0.3,3,reviewed,nn,nn
2017-01-15T11:11:10.315Z,38.3993,-118.9183,8.3,1.1,ml,11,90.82,0.133,0.0978,nn,nn00574087,2017-01-15T17:30:48.124Z,"29km WSW of Hawthorne, Nevada",earthquake,,2.9,0.25,4,reviewed,nn,nn
2017-01-15T11:08:30.890Z,38.8288345,-122.7949982,1.29,0.88,md,16,65,0.01023,0.02,nc,nc72752490,2017-01-15T11:10:09.071Z,"6km W of Cobb, California",earthquake,0.24,0.42,0.03,4,automatic,nc,nc
2017-01-15T11:04:36.950Z,36.5165,-98.9306,8.61,2.5,mb_lg,,110,0.118,0.96,us,us10007tdl,2017-01-15T20:15:02.883Z,"26km ENE of Mooreland, Oklahoma",earthquake,2.1,4.3,0.085,36,reviewed,us,us
2017-01-15T10:54:57.590Z,36.5963326,-121.2031631,5.88,2,md,17,99,0.02385,0.07,nc,nc72752475,2017-01-15T10:59:02.712Z,"22km NNE of Soledad, California",earthquake,0.32,0.76,0.15,16,automatic,nc,nc
2017-01-15T10:54:02.465Z,59.5456,-137.4161,0,2.1,ml,,,,0.62,ak,ak15075693,2017-01-15T19:09:18.551Z,"117km WNW of Haines, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-01-15T10:28:18.112Z,38.3731,-118.8983,13.5,0.5,ml,8,164.5,0.323,0.1194,nn,nn00574160,2017-01-15T22:21:52.913Z,"29km SW of Hawthorne, Nevada",earthquake,,11.8,0.09,2,reviewed,nn,nn
2017-01-15T10:08:17.410Z,38.8395004,-122.8365021,1.88,0.43,md,7,117,0.001207,0.03,nc,nc72752470,2017-01-15T10:10:04.923Z,"9km NW of The Geysers, California",earthquake,0.46,0.62,0.15,2,automatic,nc,nc
2017-01-15T09:47:28.350Z,33.4928333,-116.7851667,4.67,1.31,ml,12,116,0.08269,0.14,ci,ci37568679,2017-01-15T09:51:01.723Z,"9km NE of Aguanga, CA",earthquake,0.47,0.84,0.462,9,automatic,ci,ci
2017-01-15T09:46:35.953Z,38.3715,-118.8955,7.3,1.1,ml,15,81.99,0.133,0.1624,nn,nn00574086,2017-01-15T17:24:32.273Z,"29km SW of Hawthorne, Nevada",earthquake,,3.6,0.21,4,reviewed,nn,nn
2017-01-15T09:44:50.670Z,-0.1602,-80.6517,35.57,4.6,mb,,99,2.157,0.97,us,us10007tdb,2017-01-15T11:48:00.277Z,"55km NNW of Bahia de Caraquez, Ecuador",earthquake,7.7,9.2,0.06,83,reviewed,us,us
2017-01-15T09:32:14.520Z,32.6696667,-115.9455,6.19,1.13,ml,17,74,0.02952,0.21,ci,ci37568671,2017-01-15T09:35:40.789Z,"8km SSE of Ocotillo, CA",earthquake,0.39,0.89,0.164,16,automatic,ci,ci
2017-01-15T09:17:35.450Z,38.8378334,-122.8293304,1.39,0.93,md,16,51,0.004867,0.03,nc,nc72752450,2017-01-15T09:19:12.784Z,"9km W of Cobb, California",earthquake,0.23,0.52,0.09,4,automatic,nc,nc
2017-01-15T09:15:40.591Z,62.3426,-150.7584,22.3,0.8,ml,,,,0.33,ak,ak15075364,2017-01-15T09:44:40.660Z,"33km W of Talkeetna, Alaska",earthquake,,1.1,,,reviewed,ak,ak
