BASKETID,SECTION,OBJECTID,the_geom,LOCATION_DESCRIPTION,BASKETTYPE,OWNERTYPE,STREETNAME1,STREETNAME2,DIRECTION,STATEPLANE_LABELX,STATEPLANE_LABELY,STATEPLANE_SNAPPEDX,STATEPLANE_SNAPPEDY
10330006,MN033,1,POINT (-73.97850360777177 40.72060945312904),SW corner of AV D and E 3 ST,High-End Basket,DSNY-owned,AV D,E 3 ST,SW,990209.09469722,201811.70797497,990252.54375731,201829.86181004
10210082,MN021,2,POINT (-74.00856757191852 40.72804828979953),SE corner of GREENWICH ST and KING ST,Standard Wire Basket,DSNY-owned,GREENWICH ST,KING ST,SE,981875.77770248,204521.29081038,981851.05137397,204548.20611088
10210083,MN021,3,POINT (-74.00294121399216 40.721819829336276),SE corner of GRAND ST and WOOSTER ST,Standard Wire Basket,DSNY-owned,GRAND ST,WOOSTER ST,SE,983435.12596172,202251.96792121,983429.18798147,202292.18043922
10220042,MN022,4,POINT (-73.9998772884784 40.73417458273537),W corner of GREENWICH AV and CHRISTOPHER ST,Standard Wire Basket,DSNY-owned,GREENWICH AV,CHRISTOPHER ST,W,984284.40936814,206753.17414188,984317.09959148,206728.33626504
10220043,MN022,5,POINT (-74.00135935398937 40.73665071690176),W corner of GREENWICH AV and W 11 ST,High-End Basket,DSNY-owned,GREENWICH AV,W 11 ST,W,983873.68578014,207655.31046097,983915.10564481,207633.30164671
10210086,MN021,6,POINT (-74.00838771267115 40.729038118969534),NE corner of GREENWICH ST and W HOUSTON ST,Standard Wire Basket,DSNY-owned,GREENWICH ST,W HOUSTON ST,NE,981925.66277331,204881.91148022,981898.72844398,204857.44433755
10220045,MN022,7,POINT (-74.0004580510892 40.735191596804796),S corner of GREENWICH AV and CHARLES ST,Standard Wire Basket,DSNY-owned,GREENWICH AV,CHARLES ST,S,984123.45955882,207123.7045688,984134.69838148,207150.3501848
10210087,MN021,8,POINT (-74.00300435775358 40.72217932646777),NW corner of GRAND ST and WOOSTER ST,Standard Wire Basket,DSNY-owned,GRAND ST,WOOSTER ST,NW,983417.62763715,202382.94436529,983423.36122148,202345.13013646
10220046,MN022,9,POINT (-74.000580504704 40.73539040680755),W corner of GREENWICH AV and CHARLES ST,Standard Wire Basket,DSNY-owned,GREENWICH AV,CHARLES ST,W,984089.52393115,207196.1374948,984123.48121232,207184.44427672
10220047,MN022,10,POINT (-74.00022889341437 40.73479142702327),W corner of GREENWICH AV and W 10 ST,Standard Wire Basket,DSNY-owned,GREENWICH AV,W 10 ST,W,984186.96664965,206977.90991288,984224.02891147,206954.91061504
10210088,MN021,11,POINT (-74.00108819629577 40.72400375773901),SE corner of SPRING ST and WOOSTER ST,Standard Wire Basket,DSNY-owned,SPRING ST,WOOSTER ST,SE,983948.77388457,203047.62840338,983942.97304314,203086.41769588
10210090,MN021,12,POINT (-74.0008829615967 40.72423810896642),NE corner of SPRING ST and WOOSTER ST,Standard Wire Basket,DSNY-owned,SPRING ST,WOOSTER ST,NE,984005.66189414,203133.00913814,983961.20463398,203117.02787088
10220048,MN022,13,POINT (-74.00008462980513 40.734552418867366),S corner of GREENWICH AV and W 10 ST,Standard Wire Basket,DSNY-owned,GREENWICH AV,W 10 ST,S,984226.94721273,206890.83167496,984237.19817647,206924.43495421
10220049,MN022,14,POINT (-74.00220914833044 40.73425454109017),E corner of 7 AV S and W 10 ST,Standard Wire Basket,DSNY-owned,7 AV S,W 10 ST,E,983638.16164489,206782.31319122,983615.80407806,206803.32003896
31610091,BKN161,15,POINT (-73.90796590239661 40.65806016292192),NW corner of ROCKAWAY AV and LOTT AV,Standard Wire Basket,DSNY-owned,ROCKAWAY AV,LOTT AV,NW,1009785.73533389,179035.85818555,1009820.16177423,179011.12496729
10220051,MN022,16,POINT (-74.00117549586834 40.73109946953992),NE corner of AVE OF THE AMERICAS and W 3 ST,Standard Wire Basket,DSNY-owned,AVE OF THE AMERICAS,W 3 ST,NE,983924.61087515,205632.81647447,983892.47445647,205627.65277088
31610104,BKN161,17,POINT (-73.90847278413642 40.6562613163825),NW corner of HEGEMAN AV and CHESTER ST,Standard Wire Basket,DSNY-owned,HEGEMAN AV,CHESTER ST,NW,1009645.78318597,178380.34145197,1009680.38187006,178348.39663397
10210095,MN021,18,POINT (-74.00217528087185 40.724493540167245),SW corner of W BROADWAY and SPRING ST,Standard Wire Basket,DSNY-owned,W BROADWAY,SPRING ST,SW,983647.45919848,203226.07686538,983685.23799431,203243.78549138
10220052,MN022,19,POINT (-74.0008647226894 40.731507548538644),SE corner of AVE OF THE AMERICAS and W 4 ST,Standard Wire Basket,DSNY-owned,AVE OF THE AMERICAS,W 4 ST,SE,984010.7435769,205781.49137397,984003.92108397,205822.23243421
10210096,MN021,20,POINT (-74.0018590606767 40.732781005130185),E corner of W 4 ST and BARROW ST,High-End Basket,DSNY-owned,W 4 ST,BARROW ST,E,983735.17293382,206245.45566914,983683.02605648,206266.67708339
10210097,MN021,21,POINT (-74.00198023472574 40.72475740643433),NW corner of W BROADWAY and SPRING ST,Standard Wire Basket,DSNY-owned,W BROADWAY,SPRING ST,NW,983701.52405098,203322.21020331,983706.05094481,203278.60267897
10220053,MN022,22,POINT (-74.00041618541283 40.7321316691354),SE corner of AVE OF THE AMERICAS and W WASHINGTON PL,High-End Basket,BID-owned,AVE OF THE AMERICAS,W WASHINGTON PL,SE,984135.05664848,206008.87707405,984127.32634898,206044.87634589
31610042,BKN161,23,POINT (-73.91396946288894 40.65716118829222),N corner of E 98 ST and LOTT AV,Standard Wire Basket,DSNY-owned,E 98 ST,LOTT AV,N,1008120.33873031,178706.64394897,1008116.45783256,178675.78443064
10220054,MN022,24,POINT (-73.99997572864108 40.73272250514501),SE corner of AVE OF THE AMERICAS and WAVERLY PL,High-End Basket,BID-owned,AVE OF THE AMERICAS,WAVERLY PL,SE,984257.12792665,206224.13681413,984250.67912065,206265.93922396
10220056,MN022,25,POINT (-73.99981099381806 40.733938544147136),S corner of GREENWICH AV and CHRISTOPHER ST,High-End Basket,BID-owned,GREENWICH AV,CHRISTOPHER ST,S,984302.78236289,206667.1779228,984320.06874564,206699.19918421
10220057,MN022,26,POINT (-73.9957529831625 40.72629877573438),SE corner of BROADWAY and BLEECKER ST,High-End Basket,BID-owned,BROADWAY,BLEECKER ST,SE,985427.55275114,203883.80094363,985412.68138981,203940.03508313
10210100,MN021,27,POINT (-74.0043972023828 40.72144190651971),NE corner of CANAL ST and W BROADWAY,Standard Wire Basket,DSNY-owned,CANAL ST,W BROADWAY,NE,983031.53359306,202114.29595247,983001.41324648,202103.88685255
10220058,MN022,28,POINT (-74.00024654004295 40.73236180535396),NE corner of AVE OF THE AMERICAS and W WASHINGTON PL,High-End Basket,BID-owned,AVE OF THE AMERICAS,W WASHINGTON PL,NE,984182.07361481,206092.72270688,984144.01594815,206078.57378505
10220059,MN022,29,POINT (-73.99606169265384 40.72645948705552),SW corner of BROADWAY and BLEECKER ST,High-End Basket,BID-owned,BROADWAY,BLEECKER ST,SW,985341.98468082,203942.34905489,985368.33764648,203968.27616838
31620029,BKN162,30,POINT (-73.91106113674914 40.680146855211596),SE corner of ROCKAWAY AV and MAC DOUGAL ST,Standard Wire Basket,DSNY-owned,ROCKAWAY AV,MAC DOUGAL ST,SE,1008918.77709407,187081.77352414,1008895.83619507,187105.9217698
10210102,MN021,31,POINT (-74.0046248187085 40.72159294459356),NW corner of CANAL ST and W BROADWAY,Standard Wire Basket,DSNY-owned,CANAL ST,W BROADWAY,NW,982968.44316806,202169.32701038,982968.57538565,202132.01671755
10220060,MN022,32,POINT (-73.99447902052306 40.72644509768269),Unknown corner on LAFAYETTE ST,High-End Basket,BID-owned,,LAFAYETTE ST,,985780.6553914,203937.1302333,985784.24560732,203892.99121396
10220061,MN022,33,POINT (-73.99639322806061 40.725560001816724),NE corner of E HOUSTON ST and BROADWAY,High-End Basket,BID-owned,E HOUSTON ST,BROADWAY,NE,985250.10625565,203614.63481531,985197.71954939,203604.73654114
10210104,MN021,34,POINT (-74.00374007826164 40.72221916866309),SE corner of W BROADWAY and GRAND ST,Standard Wire Basket,DSNY-owned,W BROADWAY,GRAND ST,SE,983213.69497414,202397.4679583,983214.15232231,202431.97674754
10220062,MN022,35,POINT (-73.99466651388786 40.72760202650365),SE corner of BROADWAY and GREAT JONES ST,High-End Basket,BID-owned,BROADWAY,GREAT JONES ST,SE,985728.66205706,204358.63201496,985717.64140981,204411.84155421
10210106,MN021,36,POINT (-74.00103252659048 40.73189064416456),NW corner of AVE OF THE AMERICAS and W 4 ST,High-End Basket,BID-owned,AVE OF THE AMERICAS,W 4 ST,NW,983964.23842056,205921.06556988,983967.34963481,205891.64174421
10220063,MN022,37,POINT (-73.99451422303187 40.728333694562025),SW corner of BROADWAY and W 4 ST,High-End Basket,BID-owned,BROADWAY,W 4 ST,SW,985770.85521415,204625.20398839,985811.12547481,204653.86206755
10220064,MN022,38,POINT (-73.99680393109043 40.72568304240942),NW corner of W HOUSTON ST and BROADWAY,High-End Basket,BID-owned,W HOUSTON ST,BROADWAY,NW,985136.26822873,203659.45788838,985144.20095564,203617.10889171
10210107,MN021,39,POINT (-74.00352590389095 40.72242285989518),NE corner of W BROADWAY and GRAND ST,Standard Wire Basket,DSNY-owned,W BROADWAY,GRAND ST,NE,983273.06460606,202471.67647129,983235.70083565,202463.87629005
10220065,MN022,40,POINT (-73.99537708425788 40.72737347560965),Location Description T/K,High-End Basket,BID-owned,Street Name TBD,,Direction TBD,985531.72052181,204275.35265397,985559.44083699,204257.58894533
10210109,MN021,41,POINT (-74.00223278467794 40.72180059867673),NW corner of GRAND ST and GREENE ST,Standard Wire Basket,DSNY-owned,GRAND ST,GREENE ST,NW,983631.49531965,202244.95579614,983634.50909315,202209.57561755
10210110,MN021,42,POINT (-74.00379594546457 40.72258517716234),NW corner of W BROADWAY and GRAND ST,Standard Wire Basket,DSNY-owned,W BROADWAY,GRAND ST,NW,983198.21501823,202530.81677297,983196.71797398,202489.44054338
10220066,MN022,43,POINT (-73.99500118881325 40.72776666085345),SW corner of BROADWAY and W 3 ST,High-End Basket,BID-owned,BROADWAY,W 3 ST,SW,985635.89813498,204418.60794488,985669.37050898,204434.22339922
10210111,MN021,44,POINT (-74.00164519194419 40.72459362707976),NE corner of W BROADWAY and SPRING ST,Standard Wire Basket,DSNY-owned,W BROADWAY,SPRING ST,NE,983794.38935082,203262.53840663,983744.90257314,203254.68835671
10220067,MN022,45,POINT (-73.99447035463909 40.72784513576265),NE corner of BROADWAY and GREAT JONES ST,High-End Basket,BID-owned,BROADWAY,GREAT JONES ST,NE,985783.02513731,204447.20762521,985742.02456315,204452.88806005
10210112,MN021,46,POINT (-73.99945265383239 40.72642545525258),SW corner of W HOUSTON ST and WOOSTER ST,Standard Wire Basket,DSNY-owned,W HOUSTON ST,WOOSTER ST,SW,984402.10959207,203929.92617947,984451.82701232,203939.45732838
10220068,MN022,47,POINT (-73.9988462764076 40.72668995012053),Unknown corner on W HOUSTON ST,Standard Wire Basket,DSNY-owned,,W HOUSTON ST,,984570.17848164,204026.2914723,984526.83014314,204013.50278397
10330031,MN033,48,POINT (-73.98056109249734 40.72148288830806),SE corner of AV C and E 3 ST,High-End Basket,DSNY-owned,AV C,E 3 ST,SE,989638.69951256,202129.79395297,989636.68212815,202177.80730838
10330059,MN033,49,POINT (-73.98455739655986 40.72432401681201),NE corner of AV A and E 4 ST,High-End Basket,DSNY-owned,AV A,E 4 ST,NE,988530.77587539,203164.68394356,988483.96461731,203147.03765339
10330067,MN033,50,POINT (-73.98489680174649 40.72447125188391),NW corner of AV A and E 4 ST,High-End Basket,DSNY-owned,AV A,E 4 ST,NW,988436.69043365,203218.30982055,988445.91023147,203190.94504589
10220102,MN022,51,POINT (-74.0002159618183 40.72884337513717),NE corner of BLEECKER ST and SULLIVAN ST,Standard Wire Basket,DSNY-owned,BLEECKER ST,SULLIVAN ST,NE,984190.54505456,204810.8489583,984152.98902731,204802.64785922
10220103,MN022,52,POINT (-74.00901694009035 40.73132174334439),NW corner of WASHINGTON ST and MORTON ST,Standard Wire Basket,DSNY-owned,WASHINGTON ST,MORTON ST,NW,981751.35177022,205713.92425188,981760.22150314,205680.07720672
10210141,MN021,53,POINT (-74.00242087076607 40.72790790122229),SW corner of W HOUSTON ST and MAC DOUGAL ST,Standard Wire Basket,DSNY-owned,W HOUSTON ST,MAC DOUGAL ST,SW,983579.42127681,204470.03599164,983618.46253732,204491.62879622
10220104,MN022,54,POINT (-74.00040068148735 40.72863400633542),SE corner of BLEECKER ST and SULLIVAN ST,Standard Wire Basket,DSNY-owned,BLEECKER ST,SULLIVAN ST,SE,984139.34765039,204734.5695833,984135.39391814,204771.87692338
10210143,MN021,55,POINT (-74.00275357388622 40.72806515771708),SE corner of AVE OF THE AMERICAS and W HOUSTON ST,Standard Wire Basket,DSNY-owned,AVE OF THE AMERICAS,W HOUSTON ST,SE,983487.20951898,204527.33213688,983478.69903731,204571.26676031
10220105,MN022,56,POINT (-74.00865823179844 40.731739521272836),SE corner of WASHINGTON ST and BARROW ST,Standard Wire Basket,DSNY-owned,WASHINGTON ST,BARROW ST,SE,981850.78300181,205866.12375063,981835.86439648,205894.82087171
10220106,MN022,57,POINT (-74.00045650475764 40.72897213908451),NW corner of BLEECKER ST and SULLIVAN ST,Standard Wire Basket,DSNY-owned,BLEECKER ST,SULLIVAN ST,NW,984123.87622465,204857.76192221,984123.71087064,204820.77446339
10210145,MN021,58,POINT (-74.00287307204987 40.727757218561194),NE corner of AVE OF THE AMERICAS and KING ST,Standard Wire Basket,DSNY-owned,AVE OF THE AMERICAS,KING ST,NE,983454.08524139,204415.14141639,983416.16307314,204400.61454254
10220107,MN022,59,POINT (-74.00890418470397 40.732022853797616),NW corner of WASHINGTON ST and BARROW ST,Standard Wire Basket,DSNY-owned,WASHINGTON ST,BARROW ST,NW,981782.62795439,205969.35746805,981799.09281647,205941.74663088
10210148,MN021,60,POINT (-73.99639037011138 40.71887859039017),SE corner of GRAND ST and MOTT ST,Standard Wire Basket,DSNY-owned,GRAND ST,MOTT ST,SE,985250.99864231,201180.39132422,985236.67780481,201219.42011754
10220110,MN022,61,POINT (-73.99255645675863 40.7302077514544),NE corner of BROADWAY and ASTOR PL,High-End Basket,BID-owned,BROADWAY,ASTOR PL,NE,986313.41744922,205308.0211923,986279.66784482,205291.68559505
10210149,MN021,62,POINT (-74.0051225582204 40.728411768064475),E corner of VARICK ST and W HOUSTON ST,Standard Wire Basket,DSNY-owned,VARICK ST,W HOUSTON ST,E,982830.61962481,204653.64257979,982807.60785981,204702.70711422
10220111,MN022,63,POINT (-74.00677130432378 40.731843223313966),NW corner of HUDSON ST and BARROW ST,Standard Wire Basket,DSNY-owned,HUDSON ST,BARROW ST,NW,982373.74553856,205903.85956755,982387.20187648,205867.43903671
10220112,MN022,64,POINT (-73.99431632690153 40.72859087570351),NW corner of BROADWAY and W 4 ST,High-End Basket,BID-owned,BROADWAY,W 4 ST,NW,985825.6986084,204718.90655689,985831.26651065,204686.52932505
10210151,MN021,65,POINT (-74.00342628941738 40.72754833666535),SW corner of AVE OF THE AMERICAS and KING ST,Standard Wire Basket,DSNY-owned,AVE OF THE AMERICAS,KING ST,SW,983300.74959005,204339.0447838,983335.24131897,204367.94072339
10220113,MN022,66,POINT (-74.00641208408067 40.731803500844926),NE corner of HUDSON ST and BARROW ST,Standard Wire Basket,DSNY-owned,HUDSON ST,BARROW ST,NE,982473.3017699,205889.37993771,982445.35792814,205860.94298671
10220114,MN022,67,POINT (-74.00129423906614 40.73088128404689),SE corner of AVE OF THE AMERICAS and W 3 ST,Standard Wire Basket,DSNY-owned,AVE OF THE AMERICAS,W 3 ST,SE,983891.69985172,205553.32516363,983873.59654148,205582.75128588
10210153,MN021,68,POINT (-74.00359756524506 40.72712212412815),NW corner of AVE OF THE AMERICAS and CHARLTON ST,Standard Wire Basket,DSNY-owned,AVE OF THE AMERICAS,CHARLTON ST,NW,983253.27133857,204183.76425447,983269.47045314,204151.70427921
10220115,MN022,69,POINT (-74.00682838190814 40.7315577434498),SW corner of HUDSON ST and BARROW ST,Standard Wire Basket,DSNY-owned,HUDSON ST,BARROW ST,SW,982357.91847047,205799.85157347,982382.46435314,205828.38399671
10210155,MN021,70,POINT (-74.00320107561544 40.72706628447107),NE corner of AVE OF THE AMERICAS and PRINCE ST,High-End Basket,DSNY-owned,AVE OF THE AMERICAS,PRINCE ST,NE,983363.16481957,204163.41586997,983334.79840648,204146.12030089
10220116,MN022,71,POINT (-74.00061381900022 40.732542728712254),NW corner of AVE OF THE AMERICAS and W WASHINGTON PL,High-End Basket,BID-owned,AVE OF THE AMERICAS,W WASHINGTON PL,NW,984080.28412023,206158.63924171,984088.72078314,206112.98644589
10210157,MN021,72,POINT (-74.00313891313877 40.72675229848726),SE corner of AVE OF THE AMERICAS and PRINCE ST,High-End Basket,DSNY-owned,AVE OF THE AMERICAS,PRINCE ST,SE,983380.39017882,204049.02042946,983321.14685898,204101.89466755
10220117,MN022,73,POINT (-73.99972660971203 40.733710121069855),SW corner of AVE OF THE AMERICAS and GREENWICH AV,High-End Basket,BID-owned,AVE OF THE AMERICAS,GREENWICH AV,SW,984326.16879906,206583.95630446,984352.26028231,206583.24141088
10220118,MN022,74,POINT (-74.00343755301063 40.73531081502757),S corner of PERRY ST and W 4 ST,Standard Wire Basket,DSNY-owned,PERRY ST,W 4 ST,S,983297.73876931,207167.15789397,983311.94740231,207237.35427588
10220119,MN022,75,POINT (-74.00448648125644 40.73414794201683),N corner of BLEECKER ST and W 10 ST,Standard Wire Basket,DSNY-owned,BLEECKER ST,W 10 ST,N,983007.02347148,206743.49994864,982997.25643064,206715.10827313
10210161,MN021,76,POINT (-73.99754729920281 40.71924005582586),SW corner of GRAND ST and MULBERRY ST,Standard Wire Basket,DSNY-owned,GRAND ST,MULBERRY ST,SW,984930.29160656,201312.07314746,984976.58974232,201331.82146755
10220120,MN022,77,POINT (-74.00473659138251 40.73411753174032),W corner of W 10 ST and BLEECKER ST,Standard Wire Basket,DSNY-owned,W 10 ST,BLEECKER ST,W,982937.70766524,206732.42418338,982965.93759565,206709.7703573
10210163,MN021,78,POINT (-74.010197858787 40.73110244660653),SE corner of WEST ST and MORTON ST,Standard Wire Basket,DSNY-owned,WEST ST,MORTON ST,SE,981424.05025947,205634.06351921,981408.59490982,205671.83247255
10210164,MN021,79,POINT (-73.99935006374822 40.718504857758504),SE corner of CENTRE ST and HESTER ST,Standard Wire Basket,DSNY-owned,CENTRE ST,HESTER ST,SE,984430.56589998,201044.20918188,984415.38679648,201082.55359338
10220122,MN022,80,POINT (-74.00436704125326 40.73392355528266),E corner of BLEECKER ST and W 10 ST,Standard Wire Basket,DSNY-owned,BLEECKER ST,W 10 ST,E,983040.12084623,206661.74715938,983008.72622398,206681.36785504
10210165,MN021,81,POINT (-73.99915551409794 40.718755629642224),NE corner of CENTRE ST and HESTER ST,Standard Wire Basket,DSNY-owned,CENTRE ST,HESTER ST,NE,984484.49492598,201135.57350047,984443.47072981,201127.67161338
10220123,MN022,82,POINT (-73.99353526652928 40.729540574126645),SW corner of BROADWAY and WAVERLY PL,High-End Basket,BID-owned,BROADWAY,WAVERLY PL,SW,986042.15322799,205064.92620605,986083.68070398,205069.95047422
10220124,MN022,83,POINT (-74.00455338877941 40.73349282057368),W corner of BLEECKER ST and CHRISTOPHER ST,High-End Basket,DSNY-owned,BLEECKER ST,CHRISTOPHER ST,W,982988.46839048,206504.81965172,983018.02738647,206480.54476589
10210166,MN021,84,POINT (-73.99989708768123 40.71940165405476),NW corner of LAFAYETTE ST and HOWARD ST,Standard Wire Basket,DSNY-owned,LAFAYETTE ST,HOWARD ST,NW,984278.92840798,201370.93884338,984277.29324065,201326.14562589
10220125,MN022,85,POINT (-73.99962422815322 40.72829437051383),SE corner of BLEECKER ST and THOMPSON ST,Standard Wire Basket,DSNY-owned,BLEECKER ST,THOMPSON ST,SE,984354.55128823,204610.82967331,984342.07001399,204634.27221172
10220126,MN022,86,POINT (-74.00417329854854 40.73354570652438),N corner of BLEECKER ST and CHRISTOPHER ST,Standard Wire Basket,DSNY-owned,BLEECKER ST,CHRISTOPHER ST,N,983093.80807482,206524.08240847,983083.59155981,206488.80590421
10210167,MN021,87,POINT (-74.00710390185476 40.727466485952796),NE corner of HUDSON ST and CHARLTON ST,Standard Wire Basket,DSNY-owned,HUDSON ST,CHARLTON ST,NE,982281.43732423,204309.28532888,982252.74020314,204278.69877589
10220127,MN022,88,POINT (-73.99339723449047 40.72732436984279),NE corner of LAFAYETTE ST and GREAT JONES ST,High-End Basket,BID-owned,LAFAYETTE ST,GREAT JONES ST,NE,986080.47073664,204257.49704664,986052.39795815,204249.88977838
10210168,MN021,89,POINT (-73.99879284703968 40.71974439359055),SW corner of CENTRE ST and GRAND ST,Standard Wire Basket,DSNY-owned,CENTRE ST,GRAND ST,SW,984585.02228397,201495.81162514,984626.42640065,201504.97072755
10220130,MN022,90,POINT (-73.99444078440443 40.7259421362721),NE corner of LAFAYETTE ST and BLEECKER ST,High-End Basket,BID-owned,LAFAYETTE ST,BLEECKER ST,NE,985791.26495023,203753.88650531,985766.45364815,203754.99575505
10210169,MN021,91,POINT (-73.99826022879057 40.71946537728702),SW corner of GRAND ST and BAXTER ST,Standard Wire Basket,DSNY-owned,GRAND ST,BAXTER ST,SW,984732.66536139,201394.15992555,984745.92419314,201436.99514172
10220131,MN022,92,POINT (-74.00999484986973 40.733054101194426),E corner of WEST ST and W 10 ST,Standard Wire Basket,DSNY-owned,WEST ST,W 10 ST,E,981480.39561923,206345.10573229,981459.34940147,206368.57320505
10220069,MN022,93,POINT (-73.99669469974799 40.727108579482774),NW corner of MERCER ST and BLEECKER ST,Standard Wire Basket,DSNY-owned,MERCER ST,BLEECKER ST,NW,985166.52472989,204178.82627222,985170.74289732,204146.80599505
10220070,MN022,94,POINT (-74.00098399706458 40.7292298884028),NE corner of BLEECKER ST and MAC DOUGAL ST,Standard Wire Basket,DSNY-owned,BLEECKER ST,MAC DOUGAL ST,NE,983977.67737006,204951.66921471,983944.34443148,204938.15972731
10220071,MN022,95,POINT (-73.99582421864409 40.72542613541014),NW corner of E HOUSTON ST and CROSBY ST,High-End Basket,BID-owned,E HOUSTON ST,CROSBY ST,NW,985407.82345989,203565.87014905,985411.01144564,203539.80589671
10210116,MN021,96,POINT (-74.00184340332656 40.726099631235),SW corner of PRINCE ST and THOMPSON ST,Standard Wire Basket,DSNY-owned,PRINCE ST,THOMPSON ST,SW,983739.46098298,203811.22333288,983786.24107315,203815.09406005
10220072,MN022,97,POINT (-73.99559128924261 40.72655429542565),NE corner of BROADWAY and BLEECKER ST,High-End Basket,BID-owned,BROADWAY,BLEECKER ST,NE,985472.36499748,203976.89688605,985434.90247397,203972.48580563
10210117,MN021,98,POINT (-74.0023701509411 40.72494600533084),NE corner of SPRING ST and THOMPSON ST,Standard Wire Basket,DSNY-owned,SPRING ST,THOMPSON ST,NE,983593.44979206,203390.92528896,983548.12475148,203380.73141171
10220073,MN022,99,POINT (-73.99589999740954 40.726730205966824),NW corner of BROADWAY and BLEECKER ST,High-End Basket,BID-owned,BROADWAY,BLEECKER ST,NW,985386.79725523,204040.9823878,985390.68340232,204000.72361004
10220074,MN022,100,POINT (-73.99986951353074 40.72841120937284),SW corner of BLEECKER ST and THOMPSON ST,Standard Wire Basket,DSNY-owned,BLEECKER ST,THOMPSON ST,SW,984286.56717223,204653.39750154,984316.31875314,204654.07204089
10220075,MN022,101,POINT (-73.99501431036967 40.72725835651976),NE corner of BROADWAY and BOND ST,High-End Basket,BID-owned,BROADWAY,BOND ST,NE,985632.27182989,204233.41671422,985594.49533065,204227.15688421
10220076,MN022,102,POINT (-73.99971558281314 40.72859069762435),NW corner of BLEECKER ST and THOMPSON ST,Standard Wire Basket,DSNY-owned,BLEECKER ST,THOMPSON ST,NW,984329.23080081,204718.79074347,984334.24522647,204685.01029922
10220077,MN022,103,POINT (-73.99522427914225 40.72702229607276),SE corner of BROADWAY and BOND ST,High-End Basket,BID-owned,BROADWAY,BOND ST,SE,985574.08001715,204147.40934029,985565.82084732,204187.07166255
10210120,MN021,104,POINT (-74.0028271919755 40.72481465122074),SW corner of SPRING ST and THOMPSON ST,Standard Wire Basket,DSNY-owned,SPRING ST,THOMPSON ST,SW,983466.76697457,203343.07269438,983499.22064981,203358.74654755
10220078,MN022,105,POINT (-73.99472126226851 40.72611252399899),NW corner of LAFAYETTE ST and BLEECKER ST,High-End Basket,BID-owned,LAFAYETTE ST,BLEECKER ST,NW,985713.52035506,203815.95921581,985720.59087898,203783.62102588
10220079,MN022,106,POINT (-73.99287972511459 40.72791828681723),NE corner of LAFAYETTE ST and E 4 ST,High-End Basket,BID-owned,LAFAYETTE ST,E 4 ST,NE,986223.88974114,204473.89064272,986185.07485814,204457.47794588
10220080,MN022,107,POINT (-73.99222529457762 40.725844062358696),NW corner of BOND ST and BOWERY,Standard Wire Basket,DSNY-owned,BOND ST,BOWERY,NW,986405.34180605,203718.20186538,986414.54946481,203687.92896006
10220082,MN022,108,POINT (-73.99205925112946 40.72633891143145),SW corner of GREAT JONES ST and BOWERY,Standard Wire Basket,DSNY-owned,GREAT JONES ST,BOWERY,SW,986451.34827572,203898.49481188,986480.13660398,203916.17653506
10210122,MN021,109,POINT (-74.00422339936917 40.72278623704904),NE corner of GRAND ST and THOMPSON ST,Standard Wire Basket,DSNY-owned,GRAND ST,THOMPSON ST,NE,983079.73395598,202604.07450047,983040.72091064,202591.40556255
10220084,MN022,110,POINT (-73.99354029864521 40.72708477861856),SE corner of LAFAYETTE ST and GREAT JONES ST,High-End Basket,BID-owned,LAFAYETTE ST,GREAT JONES ST,SE,986040.82449047,204170.20358604,986026.41047731,204211.47122005
10210123,MN021,111,POINT (-74.00498503153855 40.723483315307114),SW corner of AV OF THE AMERICAS and WATTS ST,Standard Wire Basket,DSNY-owned,AV OF THE AMERICAS,WATTS ST,SW,982868.63464065,202858.05266705,982880.48172981,202894.60705589
10220086,MN022,112,POINT (-73.99195372196826 40.72662430516205),NW corner of GREAT JONES ST and BOWERY,Standard Wire Basket,DSNY-owned,GREAT JONES ST,BOWERY,NW,986480.58837473,204002.47524697,986492.60705148,203965.04454754
10210125,MN021,113,POINT (-74.00441865951225 40.72254336228408),SE corner of GRAND ST and THOMPSON ST,Standard Wire Basket,DSNY-owned,GRAND ST,THOMPSON ST,SE,983025.60611148,202515.59042546,983018.43749064,202556.73371588
10220087,MN022,114,POINT (-73.99528296090145 40.72536597761294),NW corner of E HOUSTON ST and LAFAYETTE ST,High-End Basket,BID-owned,E HOUSTON ST,LAFAYETTE ST,NW,985557.84776615,203543.96041596,985548.10106649,203500.07828589
10220088,MN022,115,POINT (-74.00336176194642 40.73608090916623),E corner of W 11 ST and W 4 ST,Standard Wire Basket,DSNY-owned,W 11 ST,W 4 ST,E,983318.75381914,207447.72655855,983288.81752731,207474.76849921
10210127,MN021,116,POINT (-74.00470366829221 40.72267263804825),SW corner of GRAND ST and THOMPSON ST,Standard Wire Basket,DSNY-owned,GRAND ST,THOMPSON ST,SW,982946.60790989,202562.69367771,982993.20460148,202573.19693755
10220089,MN022,117,POINT (-73.99419492815129 40.728245247141025),SE corner of BROADWAY and E 4 ST,High-End Basket,BID-owned,BROADWAY,E 4 ST,SE,985859.3540529,204592.98554888,985855.45281398,204627.61540088
10210128,MN021,118,POINT (-74.00356142896244 40.72519035392753),SW corner of SPRING ST and SULLIVAN ST,High-End Basket,DSNY-owned,SPRING ST,SULLIVAN ST,SW,983263.25852332,203479.96021588,983289.21450815,203495.99036755
