BASKETID,SECTION,OBJECTID,the_geom,LOCATION_DESCRIPTION,BASKETTYPE,OWNERTYPE,STREETNAME1,STREETNAME2,DIRECTION,STATEPLANE_LABELX,STATEPLANE_LABELY,STATEPLANE_SNAPPEDX,STATEPLANE_SNAPPEDY
40710051,QE071,9376,POINT (-73.82928061834768 40.75851880207316),E corner of KISSENA BLVD and 41 AV,PSR Silver Bullet BlackTop Basket,DSNY-owned,KISSENA BLVD,41 AV,E,1031546.0225219,215668.63728204,1031503.11742398,215672.03261647
30520014,BKN052,9377,POINT (-73.86884375973581 40.68474927350306),NW corner of FULTON ST and NICHOLS AV,Standard Wire Basket,DSNY-owned,FULTON ST,NICHOLS AV,NW,1020625.81011039,188773.27571856,1020646.4163684,188753.6842223
40710068,QE071,9378,POINT (-73.82583922449531 40.75607721839443),S corner of KISSENA BLVD and MAPLE AV,PSR Silver Bullet BlackTop Basket,DSNY-owned,KISSENA BLVD,MAPLE AV,S,1032501.18399739,214780.96746947,1032499.99994464,214856.53227897
30510019,BKN051,9379,POINT (-73.8960502652398 40.67724237588642),SE corner of FULTON ST and NEW JERSEY AV,Standard Wire Basket,DSNY-owned,FULTON ST,NEW JERSEY AV,SE,1013083.49579872,186028.17294104,1013057.31081173,186057.40680647
40710039,QE071,9380,POINT (-73.82891906440568 40.76346199825823),Location Description T/K,PSR Silver Bullet BlackTop Basket,DSNY-owned,Street Name TBD,,Direction TBD,1031642.66898215,217469.79739364,1031629.25640808,217505.09538811
40710167,QE071,9381,POINT (-73.83445044252501 40.75793907833517),SW corner of COLLEGE PT BLVD and ROOSEVELT AV,PSR Silver Bullet BlackTop Basket,DSNY-owned,COLLEGE PT BLVD,ROOSEVELT AV,SW,1030114.18975565,215454.67642388,1030139.18904948,215488.40798372
20730120,BX073,9382,POINT (-73.87885161078194 40.88146080142323),Location Description T/K,High-End Basket,Privately owned,Street Name TBD,,Direction TBD,1017751.07668665,260437.92996113,1017734.45021922,260411.55296303
20710090,BX071,9383,POINT (-73.89700882534527 40.86257161095843),Median at NW corner of E FORDHAM RD and GRAND CONCOURSE,PSR Silver Bullet BlackTop Basket,DSNY-owned,E FORDHAM RD,GRAND CONCOURSE,NW,1012738.22942889,253549.43586414,1012761.48167898,253537.28168896
20710091,BX071,9384,POINT (-73.89664253591847 40.86256982823746),NE corner of E FORDHAM RD and GRAND CONCOURSE,PSR Silver Bullet BlackTop Basket,DSNY-owned,E FORDHAM RD,GRAND CONCOURSE,NE,1012839.54746772,253548.90568146,1012810.74339148,253535.80531396
30810027,BKN081,9385,POINT (-73.96517215251728 40.67974544350485),NW corner of UNDERHILL AV and DEAN ST,Standard Wire Basket,DSNY-owned,UNDERHILL AV,DEAN ST,NW,993910.42686148,186924.92541263,993924.70504814,186893.84214146
